financial_year,economic_sector,net_gst_contribution
2013,Manufacturing,333545
2013,Construction,1289968
2013,Utilities,268592
2013,Other Goods Industries,203425
2013,Wholesale & Retail Trade,2777466
2013,Accommodation & Food Service Activities,404994
2013,Transportation & Storage,176659
2013,Information & Communications,636361
2013,Financial & Insurance Activities,413970
2013,Real Estate & Business Activities,1497660
2013,Others,1379611
2014,Manufacturing,245341
2014,Construction,1381768
2014,Utilities,288283
2014,Other Goods Industries,156441
2014,Wholesale & Retail Trade,2966293
2014,Accommodation & Food Service Activities,410016
2014,Transportation & Storage,160650
2014,Information & Communications,626117
2014,Financial & Insurance Activities,354817
2014,Real Estate & Business Activities,1684751
2014,Others,1358876
2015,Manufacturing,189337
2015,Construction,1528362
2015,Utilities,306293
2015,Other Goods Industries,99955
2015,Wholesale & Retail Trade,3005866
2015,Accommodation & Food Service Activities,443751
2015,Transportation & Storage,179316
2015,Information & Communications,705642
2015,Financial & Insurance Activities,668134
2015,Real Estate & Business Activities,1777276
2015,Others,1461004
2016,Manufacturing,181311
2016,Construction,1525014
2016,Utilities,273870
2016,Other Goods Industries,99564
2016,Wholesale & Retail Trade,3087519
2016,Accommodation & Food Service Activities,456835
2016,Transportation & Storage,307374
2016,Information & Communications,704498
2016,Financial & Insurance Activities,479862
2016,Real Estate & Business Activities,2097538
2016,Others,1242911
